FECHA_PRECIO,ANIO_PRECIO,MES_PRECIO,DIA_PRECIO,DEPARTAMENTO_EDS,MUNICIPIO_EDS,NOMBRE_COMERCIAL_EDS,PRECIO_PROMEDIO_PUBLICADO,TIPO_COMBUSTIBLE,CODIGO_MUNICIPIO_DANE,LATITUD_MUNICIPIO,LONGITUD_MUNICIPIO
2022-06-01,2022,06,01,TOLIMA,IBAGUE,ESTACION DE SERVICIO LA PRIMAVERA IBAGUE,1859,GNCV,73001,4.451921463,-75.2525939941
2023-05-01,2023,05,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACION DE SERVICIO TERPEL LAS  PALMAS - GNV,2079,GNCV,11001,4.6529541016,-74.0835647583
2022-10-01,2022,10,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACION DE SERVICIO SAN RAFAEL,1999,GNCV,11001,4.6529541016,-74.0835647583
2022-10-01,2022,10,01,CUNDINAMARCA,MOSQUERA,ESTACION DE SERVICIO PUERTO VALLARTA,2049,GNCV,25473,4.6727142334,-74.2357330322
2021-03-01,2021,03,01,VALLE DEL CAUCA,CALI,EDS PACARA GNV,1490,GNCV,76001,3.3990437984,-76.5764923096
2023-01-01,2023,01,01,ANTIOQUIA,MEDELLIN,EDS ESSO BOLIVARIANA,2400,GNCV,05001,6.2575902939,-75.6110305786
2022-10-01,2022,10,01,ANTIOQUIA,MEDELLIN,ESTACION DE SERVICIO GNV TERPEL CAMPO VALDEZ,2265,GNCV,05001,6.2575902939,-75.6110305786
2023-07-01,2023,07,01,BOGOTA D.C.,"BOGOTA, D.C.",SERVYCOM-AVENIDA BOYACA,2079,GNCV,11001,4.6529541016,-74.0835647583
2023-09-01,2023,09,01,VALLE DEL CAUCA,CALI,GANMEGAN CALI,2583,GNCV,76001,3.3990437984,-76.5764923096
2022-12-01,2022,12,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACIÓN DE SERVICIO TERPEL GNV ALAMOS,2119,GNCV,11001,4.6529541016,-74.0835647583
2022-10-01,2022,10,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACION DE SERVICIO COMBUSCOL EL DORADO,1999,GNCV,11001,4.6529541016,-74.0835647583
2022-03-01,2022,03,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO INCOCENTRO CALLE 49,1999,GNCV,11001,4.6529541016,-74.0835647583
