FECHA_PRECIO,ANIO_PRECIO,MES_PRECIO,DIA_PRECIO,DEPARTAMENTO_EDS,MUNICIPIO_EDS,NOMBRE_COMERCIAL_EDS,PRECIO_PROMEDIO_PUBLICADO,TIPO_COMBUSTIBLE,CODIGO_MUNICIPIO_DANE,LATITUD_MUNICIPIO,LONGITUD_MUNICIPIO
2023-10-01,2023,10,01,VALLE DEL CAUCA,CALI,GREPACOL S.A,2670,GNCV,76001,3.3990437984,-76.5764923096
2021-06-01,2021,06,01,SANTANDER,GIRON,EDS TERPEL BASCULA GIRON GNV,1625,GNCV,68307,6.9767341614,-73.2052688599
2021-05-01,2021,05,01,CUNDINAMARCA,MOSQUERA,ESTACION DE SERVICIO TERPEL LA TORRE GNV,1799,GNCV,25473,4.6727142334,-74.2357330322
2022-06-01,2022,06,01,CORDOBA,MONTERIA,EDS RIO SINU GNV,1797,GNCV,23001,8.5846977234,-75.950553894
2024-04-01,2024,04,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS PATIO TM SUBA,1799,GNCV,11001,4.6529541016,-74.0835647583
2022-07-01,2022,07,01,VALLE DEL CAUCA,TULUA,ESTACIÓN DE SERVICIO TEXACO 26 TULUA,2249,GNCV,76834,4.0284080505,-76.0325012207
2023-04-01,2023,04,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO AVENIDA 68,2079,GNCV,11001,4.6529541016,-74.0835647583
2022-06-01,2022,06,01,VALLE DEL CAUCA,CALI,OPECOM EDS LA RIVERA,2019,GNCV,76001,3.3990437984,-76.5764923096
2023-03-01,2023,03,01,VALLE DEL CAUCA,CALI,EDS CENCOSUD SIMON BOLIVAR GNV,2604,GNCV,76001,3.3990437984,-76.5764923096
2023-11-01,2023,11,01,MAGDALENA,SANTA MARTA,ESTACIÓN DE SERVICIO GASXI TAYRONA GNV,2194,GNCV,47001,11.1218948364,-73.8852767944
2023-10-01,2023,10,01,VALLE DEL CAUCA,CALI,EDS AMARILLO Y CREMA GNV,2429,GNCV,76001,3.3990437984,-76.5764923096
2021-11-01,2021,11,01,ATLANTICO,BARRANQUILLA,ESTACION DE SERVICIO TERPEL PUERTA DE ORO - GNV,1550,GNCV,08001,10.9815206528,-74.8277130127
2021-04-01,2021,04,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS BRIO ALTAMAR,1699,GNCV,11001,4.6529541016,-74.0835647583
2022-11-01,2022,11,01,BOGOTA D.C.,"BOGOTA, D.C.",EDS ESSO AVENIDA 68,2059,GNCV,11001,4.6529541016,-74.0835647583
2022-05-01,2022,05,01,HUILA,NEIVA,ESTACION DE SERVICIO COOTRANSHUILA GNV,2098,GNCV,41001,2.9933600426,-75.2723617554
2023-01-01,2023,01,01,VALLE DEL CAUCA,CARTAGO,EDS LA 20 GNV,2490,GNCV,76147,4.7068471909,-75.9179077148
2022-12-01,2022,12,01,QUINDIO,ARMENIA,EDS GAS VEHICULAR,2534,GNCV,63001,4.4995012283,-75.724899292
2022-08-01,2022,08,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACIÓN DE SERVICIO TERPEL GNV ALAMOS,1849,GNCV,11001,4.6529541016,-74.0835647583
2024-08-01,2024,08,01,RISARALDA,PEREIRA,ESTACION DE SERVICIO GNV LA 17,2460,GNCV,66001,4.8036627769,-75.795791626
2022-07-01,2022,07,01,ATLANTICO,BARRANQUILLA,EDS VIA 40 GNV,1687,GNCV,08001,10.9815206528,-74.8277130127
2024-08-01,2024,08,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACIÓN DE SERVICIO SANTA MARTHA,2299,GNCV,11001,4.6529541016,-74.0835647583
2024-06-01,2024,06,01,BOYACA,DUITAMA,LA AVENIDA GN,2229,GNCV,15238,5.8906025887,-73.0670928955
2021-10-01,2021,10,01,RISARALDA,DOSQUEBRADAS,VÍA GAS,1790,GNCV,66170,4.8420209885,-75.6699371338
2023-08-01,2023,08,01,ATLANTICO,BARRANQUILLA,ESTACION DE SERVICIO GNV TERPEL AMIRA DE LA ROSA,1990,GNCV,08001,10.9815206528,-74.8277130127
2023-04-01,2023,04,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACION DE SERVICIO TERPEL GNV CIUDAD DE CALI,1800,GNCV,11001,4.6529541016,-74.0835647583
2024-06-01,2024,06,01,CALDAS,MANIZALES,GNV CAMPEROS DEL CAFÉ,2769,GNCV,17001,5.0834331512,-75.5072784424
2023-07-01,2023,07,01,ANTIOQUIA,ENVIGADO,ESTACIÓN DE SERVICIOS TEXACO AUTOGAS LAS VEGAS,2390,GNCV,05266,6.1543951035,-75.5468673706
2021-03-01,2021,03,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACION DE SERVICIO SANTANDER 19,1649,GNCV,11001,4.6529541016,-74.0835647583
2021-07-01,2021,07,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIO GNV PRADOS DEL NORTE,1730,GNCV,76001,3.3990437984,-76.5764923096
2023-08-01,2023,08,01,ATLANTICO,PUERTO COLOMBIA,SANTA MARIA DEL MAR S.A.S.,1900,GNCV,08573,11.0044221878,-74.9074020386
